theta_rad,phi_rad,gain_db
-3.14159,-3.14159,0
-3.07876,-3.14159,0
-3.01593,-3.14159,0
-2.9531,-3.14159,0
-2.89027,-3.14159,0
-2.82743,-3.14159,0
-2.7646,-3.14159,0
-2.70177,-3.14159,0
-2.63894,-3.14159,0
-2.57611,-3.14159,0
-2.51327,-3.14159,0
-2.45044,-3.14159,0
-2.38761,-3.14159,0
-2.32478,-3.14159,0
-2.26195,-3.14159,0
-2.19911,-3.14159,0
-2.13628,-3.14159,0
-2.07345,-3.14159,0
-2.01062,-3.14159,0
-1.94779,-3.14159,0
-1.88496,-3.14159,0
-1.82212,-3.14159,0
-1.75929,-3.14159,0
-1.69646,-3.14159,0
-1.63363,-3.14159,0
-1.5708,-3.14159,0
-1.50796,-3.14159,0
-1.44513,-3.14159,0
-1.3823,-3.14159,0
-1.31947,-3.14159,0
-1.25664,-3.14159,0
-1.19381,-3.14159,0
-1.13097,-3.14159,0
-1.06814,-3.14159,0
-1.00531,-3.14159,0
-0.942478,-3.14159,0
-0.879646,-3.14159,0
-0.816814,-3.14159,0
-0.753982,-3.14159,0
-0.69115,-3.14159,0
-0.628319,-3.14159,0
-0.565487,-3.14159,0
-0.502655,-3.14159,0
-0.439823,-3.14159,0
-0.376991,-3.14159,0
-0.314159,-3.14159,0
-0.251327,-3.14159,0
-0.188496,-3.14159,0
-0.125664,-3.14159,0
-0.0628319,-3.14159,0
2.77556e-15,-3.14159,432
0.0628319,-3.14159,432
0.125664,-3.14159,432
0.188496,-3.14159,432
0.251327,-3.14159,432
0.314159,-3.14159,432
0.376991,-3.14159,432
0.439823,-3.14159,432
0.502655,-3.14159,432
0.565487,-3.14159,432
0.628319,-3.14159,432
0.69115,-3.14159,432
0.753982,-3.14159,432
0.816814,-3.14159,432
0.879646,-3.14159,432
0.942478,-3.14159,432
1.00531,-3.14159,432
1.06814,-3.14159,432
1.13097,-3.14159,432
1.19381,-3.14159,432
1.25664,-3.14159,432
1.31947,-3.14159,432
1.3823,-3.14159,432
1.44513,-3.14159,432
1.50796,-3.14159,432
1.5708,-3.14159,432
1.63363,-3.14159,432
1.69646,-3.14159,432
1.75929,-3.14159,432
1.82212,-3.14159,432
1.88496,-3.14159,432
1.94779,-3.14159,432
2.01062,-3.14159,432
2.07345,-3.14159,432
2.13628,-3.14159,432
2.19911,-3.14159,432
2.26195,-3.14159,432
2.32478,-3.14159,432
2.38761,-3.14159,432
2.45044,-3.14159,432
2.51327,-3.14159,432
2.57611,-3.14159,432
2.63894,-3.14159,432
2.70177,-3.14159,432
2.7646,-3.14159,432
2.82743,-3.14159,432
2.89027,-3.14159,432
2.9531,-3.14159,432
3.01593,-3.14159,432
3.07876,-3.14159,432
-3.14159,-3.07876,0.1728
-3.07876,-3.07876,0.1728
-3.01593,-3.07876,0.1728
-2.9531,-3.07876,0.1728
-2.89027,-3.07876,0.1728
-2.82743,-3.07876,0.1728
-2.7646,-3.07876,0.1728
-2.70177,-3.07876,0.1728
-2.63894,-3.07876,0.1728
-2.57611,-3.07876,0.1728
-2.51327,-3.07876,0.1728
-2.45044,-3.07876,0.1728
-2.38761,-3.07876,0.1728
-2.32478,-3.07876,0.1728
-2.26195,-3.07876,0.1728
-2.19911,-3.07876,0.1728
-2.13628,-3.07876,0.1728
-2.07345,-3.07876,0.1728
-2.01062,-3.07876,0.1728
-1.94779,-3.07876,0.1728
-1.88496,-3.07876,0.1728
-1.82212,-3.07876,0.1728
-1.75929,-3.07876,0.1728
-1.69646,-3.07876,0.1728
-1.63363,-3.07876,0.1728
-1.5708,-3.07876,0.1728
-1.50796,-3.07876,0.1728
-1.44513,-3.07876,0.1728
-1.3823,-3.07876,0.1728
-1.31947,-3.07876,0.1728
-1.25664,-3.07876,0.1728
-1.19381,-3.07876,0.1728
-1.13097,-3.07876,0.1728
-1.06814,-3.07876,0.1728
-1.00531,-3.07876,0.1728
-0.942478,-3.07876,0.1728
-0.879646,-3.07876,0.1728
-0.816814,-3.07876,0.1728
-0.753982,-3.07876,0.1728
-0.69115,-3.07876,0.1728
-0.628319,-3.07876,0.1728
-0.565487,-3.07876,0.1728
-0.502655,-3.07876,0.1728
-0.439823,-3.07876,0.1728
-0.376991,-3.07876,0.1728
-0.314159,-3.07876,0.1728
-0.251327,-3.07876,0.1728
-0.188496,-3.07876,0.1728
-0.125664,-3.07876,0.1728
-0.0628319,-3.07876,0.1728
2.77556e-15,-3.07876,414.893
0.0628319,-3.07876,414.893
0.125664,-3.07876,414.893
0.188496,-3.07876,414.893
0.251327,-3.07876,414.893
0.314159,-3.07876,414.893
0.376991,-3.07876,414.893
0.439823,-3.07876,414.893
0.502655,-3.07876,414.893
0.565487,-3.07876,414.893
0.628319,-3.07876,414.893
0.69115,-3.07876,414.893
0.753982,-3.07876,414.893
0.816814,-3.07876,414.893
0.879646,-3.07876,414.893
0.942478,-3.07876,414.893
1.00531,-3.07876,414.893
1.06814,-3.07876,414.893
1.13097,-3.07876,414.893
1.19381,-3.07876,414.893
1.25664,-3.07876,414.893
1.31947,-3.07876,414.893
1.3823,-3.07876,414.893
1.44513,-3.07876,414.893
1.50796,-3.07876,414.893
1.5708,-3.07876,414.893
1.63363,-3.07876,414.893
1.69646,-3.07876,414.893
1.75929,-3.07876,414.893
1.82212,-3.07876,414.893
1.88496,-3.07876,414.893
1.94779,-3.07876,414.893
2.01062,-3.07876,414.893
2.07345,-3.07876,414.893
2.13628,-3.07876,414.893
2.19911,-3.07876,414.893
2.26195,-3.07876,414.893
2.32478,-3.07876,414.893
2.38761,-3.07876,414.893
2.45044,-3.07876,414.893
2.51327,-3.07876,414.893
2.57611,-3.07876,414.893
2.63894,-3.07876,414.893
2.70177,-3.07876,414.893
2.7646,-3.07876,414.893
2.82743,-3.07876,414.893
2.89027,-3.07876,414.893
2.9531,-3.07876,414.893
3.01593,-3.07876,414.893
3.07876,-3.07876,414.893
-3.14159,-3.01593,0.6912
-3.07876,-3.01593,0.6912
-3.01593,-3.01593,0.6912
-2.9531,-3.01593,0.6912
-2.89027,-3.01593,0.6912
-2.82743,-3.01593,0.6912
-2.7646,-3.01593,0.6912
-2.70177,-3.01593,0.6912
-2.63894,-3.01593,0.6912
-2.57611,-3.01593,0.6912
-2.51327,-3.01593,0.6912
-2.45044,-3.01593,0.6912
-2.38761,-3.01593,0.6912
-2.32478,-3.01593,0.6912
-2.26195,-3.01593,0.6912
-2.19911,-3.01593,0.6912
