theta_rad,phi_rad,gain_db
0,-3.14159,-20
0.0628319,-3.14159,-20
0.125664,-3.14159,-20
0.188496,-3.14159,-20
0.251327,-3.14159,-20
0.314159,-3.14159,-20
0.376991,-3.14159,-20
0.439823,-3.14159,-20
0.502655,-3.14159,-20
0.565487,-3.14159,-20
0.628319,-3.14159,-20
0.69115,-3.14159,-20
0.753982,-3.14159,-20
0.816814,-3.14159,-20
0.879646,-3.14159,-20
0.942478,-3.14159,-20
1.00531,-3.14159,-20
1.06814,-3.14159,-20
1.13097,-3.14159,-20
1.19381,-3.14159,-20
1.25664,-3.14159,-20
1.31947,-3.14159,-20
1.3823,-3.14159,-20
1.44513,-3.14159,-20
1.50796,-3.14159,-20
1.5708,-3.14159,-20
1.63363,-3.14159,-20
1.69646,-3.14159,-20
1.75929,-3.14159,-20
1.82212,-3.14159,-20
1.88496,-3.14159,-20
1.94779,-3.14159,-20
2.01062,-3.14159,-20
2.07345,-3.14159,-20
2.13628,-3.14159,-20
2.19911,-3.14159,-20
2.26195,-3.14159,-20
2.32478,-3.14159,-20
2.38761,-3.14159,-20
2.45044,-3.14159,-20
2.51327,-3.14159,-20
2.57611,-3.14159,-20
2.63894,-3.14159,-20
2.70177,-3.14159,-20
2.7646,-3.14159,-20
2.82743,-3.14159,-20
2.89027,-3.14159,-20
2.9531,-3.14159,-20
3.01593,-3.14159,-20
3.07876,-3.14159,-20
0,-3.07876,-20
0.0628319,-3.07876,-20
0.125664,-3.07876,-20
0.188496,-3.07876,-20
0.251327,-3.07876,-20
0.314159,-3.07876,-20
0.376991,-3.07876,-20
0.439823,-3.07876,-20
0.502655,-3.07876,-20
0.565487,-3.07876,-20
0.628319,-3.07876,-20
0.69115,-3.07876,-20
0.753982,-3.07876,-20
0.816814,-3.07876,-20
0.879646,-3.07876,-20
0.942478,-3.07876,-20
1.00531,-3.07876,-20
1.06814,-3.07876,-20
1.13097,-3.07876,-20
1.19381,-3.07876,-20
1.25664,-3.07876,-20
1.31947,-3.07876,-20
1.3823,-3.07876,-20
1.44513,-3.07876,-20
1.50796,-3.07876,-20
1.5708,-3.07876,-20
1.63363,-3.07876,-20
1.69646,-3.07876,-20
1.75929,-3.07876,-20
1.82212,-3.07876,-20
1.88496,-3.07876,-20
1.94779,-3.07876,-20
2.01062,-3.07876,-20
2.07345,-3.07876,-20
2.13628,-3.07876,-20
2.19911,-3.07876,-20
2.26195,-3.07876,-20
2.32478,-3.07876,-20
2.38761,-3.07876,-20
2.45044,-3.07876,-20
2.51327,-3.07876,-20
2.57611,-3.07876,-20
2.63894,-3.07876,-20
2.70177,-3.07876,-20
2.7646,-3.07876,-20
2.82743,-3.07876,-20
2.89027,-3.07876,-20
2.9531,-3.07876,-20
3.01593,-3.07876,-20
3.07876,-3.07876,-20
0,-3.01593,-20
0.0628319,-3.01593,-20
0.125664,-3.01593,-20
0.188496,-3.01593,-20
0.251327,-3.01593,-20
0.314159,-3.01593,-20
0.376991,-3.01593,-20
0.439823,-3.01593,-20
0.502655,-3.01593,-20
0.565487,-3.01593,-20
0.628319,-3.01593,-20
0.69115,-3.01593,-20
0.753982,-3.01593,-20
0.816814,-3.01593,-20
0.879646,-3.01593,-20
0.942478,-3.01593,-20
1.00531,-3.01593,-20
1.06814,-3.01593,-20
1.13097,-3.01593,-20
1.19381,-3.01593,-20
1.25664,-3.01593,-20
1.31947,-3.01593,-20
1.3823,-3.01593,-20
1.44513,-3.01593,-20
1.50796,-3.01593,-20
1.5708,-3.01593,-20
1.63363,-3.01593,-20
1.69646,-3.01593,-20
1.75929,-3.01593,-20
1.82212,-3.01593,-20
1.88496,-3.01593,-20
1.94779,-3.01593,-20
2.01062,-3.01593,-20
2.07345,-3.01593,-20
2.13628,-3.01593,-20
2.19911,-3.01593,-20
2.26195,-3.01593,-20
